formula,target
LaMg2Ag,1
Na2UO4,0
LiPbN,1
Sb28(Mo3Ru)3,1
Ti4(FeO4)3,1
UC,0
Eu2ZnGe3,1
Li2Fe2Si2O7,1
Y4Fe4Co12B3C,1
Ca3CuN3,1
Li2BeSiO4,0
Nd5Pb4,0
LiTi11O20,1
CsRbMg6,1
V2NiO6,1
Li5Mn8(BO3)8,1
ZrVW,1
LiNb(PO3)4,1
Ru(C2N3)3,1
BaCaCeSnO6,1
CuH4C2NCl3O,0
KNa2LiTi2Fe2(SiO3)8,0
Cu7Si2,1
Al12Re,0
RbCNO,1
CaAl2Si3O10,1
Ba2YSbO6,0
Nb2C,0
Ce(ErS2)3,0
Li2VFe(P2O7)2,1
Pr2SO2,0
ZnP2WO7,1
SrMg30CdO32,1
K3Nb(SO4)4,0
Sc7CI12,0
PrDyTl2,1
BaCaCeHfO6,1
Er2MgTl2(WO4)4,1
Ge(C6F5)4,1
HoH12C2O4F,1
RbMg14SbO16,1
Hf2N,1
MgAl2O4,1
Si(Bi3O5)4,0
Y3Mg2WS8,1
CaV4O6,1
Cs2O,1
Mn7P12WO48,1
Tl2HgSb,1
Ca3Ta2O8,1
Mg(GaO2)2,1
TmCuGe,1
Sn3F8,0
Ba2LiY2(Fe2O5)2,1
Dy2TeO6,1
Y2Cr3O9,1
MgV8(OF)8,1
Li3Mn(PO4)2,1
Ce3CoGe2,1
H3C6SeO3F5,0
V2O5,1
TaCr3(AgS4)2,1
W2O5,1
Li2NiO2F,1
Ba4Si21Au2,1
NaFe3Si3O10,0
VZnO2,1
FeCoBi2(AsO6)2,1
MoW3(Se3S)2,1
Li2Ti3VO8,1
Bi6W4O21,1
Zr5P7Pd9,0
Sr2CeMn3O9,1
LiVCO4,1
KLiSb3O8,1
Mg14AlSb,1
Pr2Sn3(PbS4)3,1
BaHf(SiO3)3,0
Ba2BiIrO6,0
Sr4LiMn2Ga2O11,1
TaCr3(AgS4)2,1
Li2TiMn3O8,1
Ca(FeO2)4,1
Zn2NiPt,1
Sm3(SiNi3)2,0
Mn2SiMo,1
PmTlAu2,1
KLaCr2O8,0
Na3N,0
K3SbS4,0
AgTe3I,0
Er2Pt,0
BePO4,1
LiMg(AlH4)3,0
Tl6SCl4,0
Mg(MoO2)2,1
Ho2MgTc,1
Pu2SnHg,1
SnH10Br4O5,0
Ca2Nb2SbO8,1
NaSiSbCO7,1
MnCdHgTe3,1
Ti3V2O9,0
BiBr7(N3F2)2,0
Li2TiFeO4,1
Sc2V2O7,1
Li5VF8,1
Mg6Si5,1
MgMn8(SO3)8,1
DyZnIn,0
Na2SnO3,1
CaYNb2O7,1
Ho5Pb4,0
Na2YCuF6,1
V3O5,1
CaZnSi3O8,0
Tb6IrBr10,0
EuScO3,0
CoSO8,1
LaNbO2,1
PbCBr3N,0
Cs2AgAsS4,0
Mg2SnIrO6,1
NaInTe2,0
Cu3OF5,1
KZr6MnCl14,1
Ca3Tl5,0
MgCuSb,0
La2Bi,0
Li3V4O7F5,1
BaCu6Te6Se,1
Tb(IO3)3,0
Pr2Ru2O7,0
Mg6TiNb,1
NiP4,1
Na3AlH10C6O17,0
P2RhClF6,0
CoCuCO5,1
Ho2OsC2,1
MgFe2O3,1
InGa2Sn,1
NaHgH2Cl3,1
MnH4(SO6)2,0
Te4Mo(WS)2,1
RbNa2B6ClO10,0
Ta2O5,1
PrAu,0
Rb2SnO3,1
MgCr3(SO4)6,1
MgSc2Ru,1
Mg6SiMo,1
La4CrS7,0
V6Si7Ni16,0
CaAsPt,0
FeO2,0
SrMg14SnO16,1
Sr3Yb,1
Ce4Ni4Bi3Sb5,1
Li3Mn2(SiO4)2,1
Ho3Ga,1
SrCa2I6,1
CoMo4N5,1
Ti4CN3,1
Ca3Mn2WO9,1
BaMg14SnO16,1
CaGaH4,0
Pr2Ga12Pd,0
Ba8Bi4O17,1
Y(CO2)3,0
Li3Fe4WO8,1
LiVBO4,1
Zr2TiAl,0
TcXeO4F5,0
YSe2,1
PaIn3,1
Na3Cd(RhO2)8,1
KTl(CoSe)4,1
Na(RuO2)2,0
HPd3,1
ScRu(NF)6,1
VH17C4S4(O5F3)4,0
HoV2O2,1
Rb2U3(TeO7)2,0
Fe3OF5,1
BaSc2O4,0
LiLa4CoO8,0
Eu5Si3O13,1
LuAlB4,0
UNb6O16,1
Sm4Fe34C3,1
YWF5,1
Li7Ho3(MoO4)8,1
KCaHfBiO6,1
Sb4Xe2F19,0
In2AgS3Cl,1
Ba8Li13GaSb12,1
Nb4Cr7Si8,1
Sr6CaMn4O13,1
SOF2,0
MnSiNi,1
Ti19Se20,1
Fe3O4,1
Ti3Cr2Co(PO4)6,1
Pr3Ga10Ni,0
Li4Ti5O12,1
Ho2CuIr,1
VZn2WO6,1
ZrFeSi2,0
LiNiBO3,1
CsMoO3,1
Zn(SbO2)2,1
Te(WO4)2,1
TlGa(SeO4)2,1
MgBi2,1
NbCo2,0
RbInI4,0
GdYCo4,1
Dy2V2O7,1
Mg7Si2(H3O7)2,0
Na3BSbPO7,1
LaCo5,0
Nd6CdFe13,0
Ti2ZnW,1
FePO4,1
Na3(GePt)4,0
Fe3P2(HO)16,0
Ba14In4Cu2N7,0
Li2MnF4,1
Ga2WO6,1
YMg30SnO32,1
Rb2PbCl6,0
Ce3CuSnSe7,0
Ca5(IO6)2,0
Ba3NiO4,0
Lu2MgS4,1
SiO2,1
Ce2(CuSn)3,1
SrLaI5,1
Li4V3Fe3(SnO8)2,1
MgCdAu2,1
AlCuNi2,1
Nb4Te3N2,1
Cs2KTlF6,1
K5Nb(CN)8,0
BaCa,1
Li7Mn4CoO12,1
Mn3Ga2(GeO4)3,1
Mn(Bi3O5)4,0
Mo3C8S13N2,1
Ni15Cl16,1
Na3SbSe4,0
InCuSnSe4,1
Ce3S3O16,0
BaTm2CoO5,0
CdH20C2S2(NO2)6,0
Co3TeO6,0
CaB2H10O9,0
Li9Co13O28,1
FeCoP,0
La2MnCoO6,1
BaTbEuSnO6,1
UGaNi,0
Gd2AlNi2,0
CeAlPd,0
Th(SiPt)2,0
Lu3Co4Ge13,0
YbSb2,0
CrTcO3,1
Cs2HgAsI6,1
Bi6Se3(BrO7)2,0
BaSe,0
VCoSi,0
Ca4Ce2TiSi4(BO6)4,0
CoH14N5O9,0
Rb3HoO3,1
Li2Mn3(P2O7)2,1
FeCoGe,1
Nd3Br,1
Li2MgSb,1
HoCuGe,0
NaMg30BO31,1
Fe3N,1
Hg5(SbI3)2,0
CoBi6(SO8)2,1
ScAlCu2,0
MgBe3,1
LuFe2SiC,1
ZnWO4,1
Nd17Au36,0
BaYMnCoO5,1
Mn2Cr3O12,1
Na2SnBPO7,1
FeHO2,1
NaLa6OsI12,1
Bi3Ru3O11,0
Li2MnFe(BO3)2,1
Ca33In4P28Pb3O112,1
BaEr2ZnO5,0
SmGd3,1
Cs3YCl6,1
AgC4(BrO)2,1
KBePt,1
SrPb3,0
Li4TiCo5O12,1
YbWO5,1
V2CrMo,1
Na3Ni2P2(CO7)2,1
Al4B2O9,1
Ag2S,1
MgSiO3,1
As2O3,1
BaTiO3,0
Li3V3P8O29,1
NaH6RuN(ClO)4,0
AlH20Ru(Cl3O5)2,0
LiSiBi3O7,1
CaTi2PbO6,1
AgMo6Cl13,1
MgTi2ZnO6,1
MnV2Ru,1
La3Mg2NbO9,1
Mg6NiSb,1
BeBO3,1
Dy2B6Os,0
KNp2F9,1
Li4Co3O7,1
K2UCoP2O11,0
NaHoIrO4,1
PrSbPd,1
SnP2O7,1
Bi2PdO4,0
Li8MnFe7(BO3)8,1
Cs(MoS)3,0
YMg,1
Mn2InSnPd4,1
Cr2O3,1
MgMn6(OF2)4,1
RbAl(H2N)4,1
CsMg30BO32,1
Ag2GeO4,1
HCl,0
Sm(Mo3S4)2,0
NaErS2,0
K3Ba,1
Na4CO4,1
Rb(WO3)3,0
Rb8Ta6O23,0
Ba5Ru2Br2O9,0
ScFeB4,0
Ho2SnAu2,1
In(PO3)3,1
Lu6Ti4Al43,1
Tl3Ga9S13O2,0
Sc2CuPd,1
Li2Fe(PO4)2,1
KPHO3F,0
K2Ge2O3,1
Sm2Ga2(Fe5C)3,0
Sc2V2O7,1
NbCr3(AgS4)2,1
CsAl,1
BiS2,1
Ta2ZnRe,1
KMg6Si,1
P2O5,1
Cs2GaP4H3O14,0
Mg6Si5,1
SrB8O15,0
LiPd2Pb,0
La3MnO7,1
