formula,prediction,dens_score,peak_score,is_valid,predicted_e_above_hull,is_theoretical
Hf2AsO4,19.14666557,17.98971294,2.335247177,TRUE,0.001347095,1.000671387
Na2YPCO7,19.14198685,11.31751479,2.596897738,TRUE,0.018508494,1.000001311
Mg3WN4,19.13854408,12.68600944,2.469828421,TRUE,0.000499338,0.999948263
LiMg2Mn3O8,19.1311245,13.87136352,2.510565063,TRUE,0.019240767,0.99992764
Ba2NdTl,19.13054276,2.842281531,3.148949562,TRUE,0.015353292,0.999984562
CdSeF2,19.12950516,14.92545876,2.485729507,TRUE,0.016398489,0.99995327
Li2Fe3OF6,19.12060738,8.573753704,2.912624896,TRUE,0.07660494,0.999996424
Ca3Cr2(Si2O7)2,19.11915779,17.47393258,2.280855356,TRUE,0.057765163,0.999729812
Rb3Yb(PO4)2,19.11308289,12.80408542,2.579534422,TRUE,5.66E-05,0.998437524
Li2FeSiO4,19.10909271,30.22373762,1.683304817,TRUE,0.019927666,1.000309706
Sr5Ca3Fe7CoO24,19.1046505,8.284966924,2.822239254,TRUE,0.031497613,1.000065923
Ba2AcAs,19.10451317,1.118907644,3.311235088,TRUE,0.000370428,0.99994278
Li4Fe2Co3Te3O16,19.10237503,9.876954553,2.658900549,TRUE,0.079378426,0.999999046
SrFe6Rh,19.10149574,5.390831577,2.929350296,TRUE,0.007019565,0.99930793
Li11Fe12(BO3)12,19.09737587,15.39722143,2.523945838,TRUE,0.081113964,1.000024319
BaFe4Se,19.09378815,9.701895836,2.878736972,TRUE,0.04767707,1.000087142
Li2Mn2CoO6,19.09334183,24.22364787,1.77215596,TRUE,0.073869839,1.000706434
Ba2LuHf,19.09309006,2.069346053,3.192659862,TRUE,0.000110045,0.999958873
Li4VGa3O8,19.08429146,34.14083821,1.145990012,TRUE,0.049316183,1.000009418
BaGd2Mn,19.08224869,1.785611867,3.127079026,TRUE,0.038575277,1.000051498
Ba4LiSe,19.0788269,2.845040179,3.214940772,TRUE,7.37E-05,1.000056028
